state_id,date,infection_rate,requirements
AK,44256,0.99,0
AK,44257,0.99,0
AK,44258,0.99,0
AK,44259,0.99,0
AK,44260,0.99,0
AK,44261,0.99,0
AK,44262,0.99,0
AK,44263,0.99,0
AK,44264,0.99,0
AK,44265,0.99,0
AK,44266,0.99,0
AK,44267,0.99,0
AK,44268,1,0
AK,44269,1,0
AK,44270,1,0
AK,44271,1.01,0
AK,44272,1.02,0
AK,44273,1.02,0
AK,44274,1.03,0
AK,44275,1.04,0
AK,44276,1.05,0
AK,44277,1.06,0
AK,44278,1.06,0
AK,44279,1.07,0
AK,44280,1.08,0
AK,44281,1.08,0
AK,44282,1.08,0
AK,44283,1.08,0
AK,44284,1.08,0
AK,44285,1.08,0
AK,44286,1.08,0
AK,44287,1.07,0
AK,44288,1.06,0
AK,44289,1.05,0
AK,44290,1.04,0
AK,44291,1.03,0
AK,44292,1.02,0
AK,44293,1.01,0
AK,44294,1.01,0
AK,44295,1,0
AK,44296,0.99,0
AK,44297,0.98,0
AK,44298,0.98,0
AK,44299,0.97,0
AK,44300,0.97,0
AK,44301,0.97,0
AK,44302,0.97,0
AK,44303,0.96,0
AK,44304,0.96,0
AK,44305,0.96,0
AK,44306,0.95,0
AK,44307,0.95,0
AK,44308,0.94,0
AK,44309,0.93,0
AK,44310,0.92,0
AK,44311,0.91,0
AK,44312,0.9,0
AK,44313,0.89,0
AK,44314,0.88,0
AK,44315,0.87,0
AK,44316,0.86,0
AK,44317,0.85,0
AK,44318,0.84,0
AK,44319,0.83,0
AK,44320,0.82,0
AK,44321,0.82,0
AK,44322,0.81,0
AK,44323,0.81,0
AK,44324,0.81,0
AK,44325,0.8,0
AK,44326,0.8,0
AK,44327,0.8,0
AK,44328,0.8,0
AK,44329,0.8,0
AK,44330,0.8,0
AK,44331,0.8,0
AK,44332,0.8,0
AK,44333,0.8,0
AK,44334,0.8,0
AK,44335,0.8,0
AK,44336,0.8,0
AK,44337,0.8,0
AK,44338,0.8,0
AK,44339,0.8,0
AK,44340,0.8,0
AK,44341,0.8,0
AK,44342,0.8,0
AK,44343,0.81,0
AK,44344,0.81,0
AK,44345,0.82,0
AK,44346,0.82,0
AK,44347,0.83,0
AK,44348,0.84,0
AK,44349,0.85,0
AK,44350,0.86,0
AK,44351,0.87,0
AK,44352,0.88,0
AK,44353,0.89,0
AK,44354,0.9,0
AK,44355,0.91,0
AK,44356,0.92,0
AK,44357,0.94,0
AK,44358,0.95,0
AK,44359,0.96,0
AK,44360,0.97,0
AK,44361,0.99,0
AK,44362,1,0
AK,44363,1.01,0
AK,44364,1.02,0
AK,44365,1.02,0
AK,44366,1.03,0
AK,44367,1.04,0
AK,44368,1.05,0
AK,44369,1.06,0
AK,44370,1.06,0
AK,44371,1.07,0
AK,44372,1.09,0
AK,44373,1.1,0
AK,44374,1.11,0
AK,44375,1.13,0
AK,44376,1.15,0
AK,44377,1.17,0
AK,44378,1.19,0
AK,44379,1.21,0
AK,44380,1.24,0
AK,44381,1.26,0
AK,44382,1.29,0
AK,44383,1.31,0
AK,44384,1.33,0
AK,44385,1.35,0
AK,44386,1.37,0
AK,44387,1.38,0
AK,44388,1.39,0
AK,44389,1.4,0
AK,44390,1.4,0
AK,44391,1.4,0
AK,44392,1.4,0
AK,44393,1.39,0
AK,44394,1.38,0
AK,44395,1.36,0
AK,44396,1.35,0
AK,44397,1.33,0
AK,44398,1.32,0
AK,44399,1.3,0
AK,44400,1.28,0
AK,44401,1.26,0
AK,44402,1.24,0
AK,44403,1.23,0
AK,44404,1.21,0
AK,44405,1.2,0
AK,44406,1.19,0
AK,44407,1.17,0
AK,44408,1.16,0
AK,44409,1.15,0
AK,44410,1.15,0
AK,44411,1.14,0
AK,44412,1.14,0
AK,44413,1.13,0
AK,44414,1.13,0
AK,44415,1.13,0
AK,44416,1.13,0
AK,44417,1.13,0
AK,44418,1.13,0
AK,44419,1.14,0
AK,44420,1.14,0
AK,44421,1.14,0
AK,44422,1.14,0
AK,44423,1.14,0
AK,44424,1.14,0
AK,44425,1.14,0
AK,44426,1.14,0
AK,44427,1.13,0
AK,44428,1.13,0
AK,44429,1.12,0
AK,44430,1.12,0
AK,44431,1.11,0
AK,44432,1.1,0
AK,44433,1.1,0
AK,44434,1.09,0
AK,44435,1.09,0
AK,44436,1.08,0
AK,44437,1.08,0
AK,44438,1.08,0
AK,44439,1.08,0
AK,44440,1.08,0
AK,44441,1.08,0
AK,44442,1.09,0
AK,44443,1.09,0
AK,44444,1.1,0
AK,44445,1.1,0
AK,44446,1.11,0
AK,44447,1.11,0
AK,44448,1.12,0
AK,44449,1.13,0
AK,44450,1.13,0
AK,44451,1.14,0
AK,44452,1.14,0
AK,44453,1.15,0
AK,44454,1.15,0
AK,44455,1.15,0
AK,44456,1.16,0
AK,44457,1.15,0
AK,44458,1.15,0
AK,44459,1.14,0
AK,44460,1.13,0
AK,44461,1.12,0
AK,44462,1.11,0
AK,44463,1.09,0
AK,44464,1.08,0
AK,44465,1.06,0
AK,44466,1.04,0
AK,44467,1.02,0
AK,44468,1,0
AK,44469,0.98,0
AK,44470,0.97,0
AK,44471,0.95,0
AK,44472,0.94,0
AK,44473,0.93,0
AK,44474,0.93,0
AK,44475,0.92,0
AK,44476,0.92,0
AK,44477,0.92,0
AK,44478,0.93,0
AK,44479,0.93,0
AK,44480,0.93,0
AK,44481,0.94,0
AK,44482,0.94,0
AK,44483,0.94,0
AK,44484,0.94,0
AK,44485,0.94,0
AK,44486,0.94,0
AK,44487,0.94,0
AK,44488,0.94,0
AK,44489,0.94,0
AK,44490,0.93,0
AK,44491,0.93,0
AK,44492,0.92,0
AK,44493,0.92,0
AK,44494,0.91,0
AK,44495,0.91,0
AK,44496,0.9,0
AK,44497,0.9,0
AK,44498,0.89,0
AK,44499,0.89,0
AK,44500,0.88,0
AK,44501,0.88,0
AK,44502,0.88,0
AK,44503,0.87,0
AK,44504,0.87,0
AK,44505,0.87,0
AK,44506,0.87,0
AK,44507,0.86,0
AK,44508,0.86,0
